Exercise_Name,muscle_gp,Equipment,Rating,Description
Machine seated row,Lats,Machine,8.4,Average
Lying Face Up Plate Neck Resistance,Neck,Other,8.4,Average
Weighted sissy squat,Quadriceps,Other,8.4,Average
Jog In Place,Quadriceps,,8.4,Average
Dumbbell Raise,Shoulders,Dumbbell,8.4,Average
Palms-Down Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell,8.4,Average
One Arm Supinated Dumbbell Triceps Extension,Triceps,Dumbbell,8.4,Average
Jog In Place,Quadriceps,,8.4,Average
Dumbbell Raise,Shoulders,Dumbbell,8.4,Average
Palms-Down Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell,8.4,Average
One Arm Supinated Dumbbell Triceps Extension,Triceps,Dumbbell,8.4,Average
Stationary bike,Quadriceps,Machine,8.3,Average
Dumbbell bent-over row,Middle Back,Dumbbell,8.3,Average
Barbell thruster,Quadriceps,Barbell,8.3,Average
Flutter Kicks,Glutes,Weight Bench,8.3,Average
Dumbbell sumo squat,Quadriceps,Dumbbell,8.3,Average
Barbell upright row,Shoulders,Barbell,8.3,Average
Superman,Lower Back,Body Only,8.3,Average
Straight-Arm Pulldown,Lats,Cable,8.3,Average
Barbell stiff-legged deadlift,Hamstrings,Barbell,8.3,Average
Standing One-Arm Dumbbell Triceps Extension,Triceps,Dumbbells,8.3,Average
Smith machine bench press,Chest,Machine,8.3,Average
Seated Side Lateral Raise,Shoulders,Dumbbell,8.3,Average
Dumbbell Lying Rear Lateral Raise,Shoulders,Dumbbell,8.3,Average
Dumbbell preacher curl,Biceps,Dumbbell,8.3,Average
Front Raise And Pullover,Chest,Barbell,8.3,Average
Dumbbell seated box jump,Quadriceps,Dumbbell,8.3,Average
Middle Back Shrug,Middle Back,Dumbbell,8.3,Average
Incline face-down bar front raise,Shoulders,E-Z Curl Bar,8.3,Average
Butt-Ups,Abdominals,Body Only,8.3,Average
Band Good Morning (Pull Through),Hamstrings,Bands,8.3,Average
Bodyweight Reverse Lunge,Quadriceps,Body Only,8.3,Average
Seated One-Arm Dumbbell Palms-Down Wrist Curl,Forearms,Dumbbell,8.3,Average
Glute Kickback,Glutes,Body Only,8.3,Average
Treadmill jogging,Quadriceps,Machine,8.3,Average
Plate Pinch,Forearms,Other,8.3,Average
Yates Row Reverse Grip,Middle Back,Barbell,8.3,Average
Linear Acceleration Wall Drill,Hamstrings,Body Only,8.3,Average
Reverse-grip bench press,Triceps,Barbell,8.3,Average
Leverage Decline Chest Press,Chest,Machine,8.3,Average
Chain Handle Extension,Triceps,Other,8.3,Average
